miRNA,importance
hsa-mir-133a-1,0.03821374804338269
hsa-mir-3676,0.032332816854951305
hsa-mir-30a,0.028088818856432773
hsa-mir-1274b,0.025786601831339184
hsa-mir-891a,0.02488354985233894
hsa-mir-133b,0.022990508409139042
hsa-mir-592,0.02269913302442077
hsa-mir-222,0.01852165285722575
hsa-mir-145,0.01803762045016762
hsa-mir-221,0.017853434801620126
hsa-mir-3614,0.0327239831216838
hsa-mir-1262,0.03184383232322877
hsa-mir-21,0.022323986126744525
hsa-mir-210,0.0214333790674613
hsa-mir-582,0.020385156837291998
hsa-mir-451,0.01959696045900869
hsa-mir-425,0.019208925530804333
hsa-mir-1-2,0.018692422611241204
hsa-mir-3926-1,0.018320372617362045
hsa-mir-653,0.018193390543635456
